Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Winner,HREMONTADA,AREMONTADA,Referee
E0,13/01/2024,17:30,Newcastle,Man City,2,3,A,2,1,H,Man City,0,1,C Kavanagh
E0,14/01/2024,14:00,Everton,Aston Villa,0,0,D,0,0,D,Draw,0,0,D Coote
E0,14/01/2024,16:30,Man United,Tottenham,2,2,D,2,1,H,Draw,0,0,J Brooks
E0,20/01/2024,12:30,Arsenal,Crystal Palace,5,0,H,2,0,H,Arsenal,0,0,P Tierney
E0,20/01/2024,17:30,Brentford,Nott'm Forest,3,2,H,1,1,D,Brentford,0,0,D England
E0,21/01/2024,14:00,Sheffield United,West Ham,2,2,D,1,1,D,Draw,0,0,M Salisbury
E0,21/01/2024,16:30,Bournemouth,Liverpool,0,4,A,0,0,D,Liverpool,0,0,A Madley
E0,22/01/2024,19:45,Brighton,Wolves,0,0,D,0,0,D,Draw,0,0,C Pawson
E0,30/01/2024,19:30,Nott'm Forest,Arsenal,1,2,A,0,0,D,Arsenal,0,0,S Hooper
E0,30/01/2024,19:45,Fulham,Everton,0,0,D,0,0,D,Draw,0,0,T Bramall
E0,30/01/2024,19:45,Luton,Brighton,4,0,H,3,0,H,Luton,0,0,R Jones
E0,30/01/2024,20:00,Crystal Palace,Sheffield United,3,2,H,2,2,D,Crystal Palace,0,0,T Harrington
E0,30/01/2024,20:15,Aston Villa,Newcastle,1,3,A,0,2,A,Newcastle,0,0,J Brooks
E0,31/01/2024,19:30,Man City,Burnley,3,1,H,2,0,H,Man City,0,0,S Barrott
E0,31/01/2024,19:30,Tottenham,Brentford,3,2,H,0,1,A,Tottenham,1,0,D Coote
E0,31/01/2024,20:15,Liverpool,Chelsea,4,1,H,2,0,H,Liverpool,0,0,P Tierney
E0,01/02/2024,19:30,West Ham,Bournemouth,1,1,D,0,1,A,Draw,0,0,T Robinson
E0,01/02/2024,20:15,Wolves,Man United,3,4,A,0,2,A,Man United,0,0,J Gillett
E0,03/02/2024,12:30,Everton,Tottenham,2,2,D,1,2,A,Draw,0,0,M Oliver
E0,03/02/2024,15:00,Brighton,Crystal Palace,4,1,H,3,0,H,Brighton,0,0,S Hooper
E0,03/02/2024,15:00,Burnley,Fulham,2,2,D,0,2,A,Draw,0,0,D Bond
E0,03/02/2024,15:00,Newcastle,Luton,4,4,D,2,2,D,Draw,0,0,T Bramall
E0,03/02/2024,17:30,Sheffield United,Aston Villa,0,5,A,0,4,A,Aston Villa,0,0,P Tierney
E0,04/02/2024,14:00,Bournemouth,Nott'm Forest,1,1,D,1,1,D,Draw,0,0,R Welch
E0,04/02/2024,14:00,Chelsea,Wolves,2,4,A,1,2,A,Wolves,0,0,T Robinson
E0,04/02/2024,14:00,Man United,West Ham,3,0,H,1,0,H,Man United,0,0,A Madley
E0,04/02/2024,16:30,Arsenal,Liverpool,3,1,H,1,1,D,Arsenal,0,0,A Taylor
E0,05/02/2024,20:00,Brentford,Man City,1,3,A,1,1,D,Man City,0,0,J Gillett
E0,10/02/2024,12:30,Man City,Everton,2,0,H,0,0,D,Man City,0,0,J Brooks
E0,10/02/2024,15:00,Fulham,Bournemouth,3,1,H,2,0,H,Fulham,0,0,D England
E0,10/02/2024,15:00,Liverpool,Burnley,3,1,H,1,1,D,Liverpool,0,0,T Robinson
E0,10/02/2024,15:00,Luton,Sheffield United,1,3,A,0,2,A,Sheffield United,0,0,C Kavanagh
E0,10/02/2024,15:00,Tottenham,Brighton,2,1,H,0,1,A,Tottenham,1,0,S Barrott
E0,10/02/2024,15:00,Wolves,Brentford,0,2,A,0,1,A,Brentford,0,0,S Hooper
E0,10/02/2024,17:30,Nott'm Forest,Newcastle,2,3,A,2,2,D,Newcastle,0,0,A Taylor
E0,11/02/2024,14:00,West Ham,Arsenal,0,6,A,0,4,A,Arsenal,0,0,C Pawson
E0,11/02/2024,16:30,Aston Villa,Man United,1,2,A,0,1,A,Man United,0,0,R Jones
